,2025-12-31,2024-12-31
Ordinary Shares Number,40000000.0,40000000.0
Share Issued,40000000.0,40000000.0
Net Debt,,15651146.0
Total Debt,87753900.0,108916311.0
Tangible Book Value,543898138.0,500372295.0
Invested Capital,618411134.0,599180769.0
Working Capital,202607907.0,158034329.0
Net Tangible Assets,543898138.0,500372295.0
Capital Lease Obligations,57657827.0,55260001.0
Common Stock Equity,588315061.0,545524459.0
Total Capitalization,588315061.0,545524459.0
Total Equity Gross Minority Interest,588315061.0,545524459.0
Stockholders Equity,588315061.0,545524459.0
Retained Earnings,188835558.0,146069391.0
Capital Stock,400000000.0,400000000.0
Common Stock,400000000.0,400000000.0
Total Liabilities Net Minority Interest,489523673.0,452155382.0
Total Non Current Liabilities Net Minority Interest,115921267.0,109988250.0
Non Current Pension And Other Postretirement Benefit Plans,67574859.0,61060599.0
Non Current Deferred Taxes Liabilities,162322.0,1021204.0
Long Term Debt And Capital Lease Obligation,48184086.0,47906447.0
Long Term Capital Lease Obligation,48184086.0,47906447.0
Current Liabilities,373602406.0,342167132.0
Other Current Liabilities,914299.0,13445423.0
Current Deferred Taxes Liabilities,2283631.0,7140935.0
Current Debt And Capital Lease Obligation,39569814.0,61009864.0
Current Capital Lease Obligation,9473741.0,7353554.0
Current Debt,30096073.0,53656310.0
Payables,271310620.0,204312114.0
Total Tax Payable,8727811.0,4925831.0
Accounts Payable,262582809.0,199386283.0
Total Assets,1077838734.0,997679841.0
Total Non Current Assets,501628421.0,497478380.0
Non Current Deferred Taxes Assets,5620402.0,5620498.0
Goodwill And Other Intangible Assets,44416923.0,45152164.0
Other Intangible Assets,6188397.0,6923638.0
Goodwill,38228526.0,38228526.0
Net PPE,451591096.0,446705718.0
Accumulated Depreciation,-1137119167.0,-1098779189.0
Gross PPE,1588710263.0,1545484907.0
Construction In Progress,43568363.0,5470926.0
Machinery Furniture Equipment,1161593689.0,1160326542.0
Buildings And Improvements,350164186.0,346204327.0
Land And Improvements,33384025.0,33483112.0
Properties,0.0,0.0
Current Assets,576210313.0,500201461.0
Restricted Cash,466830.0,654455.0
Prepaid Assets,12616781.0,14386781.0
Inventory,200782993.0,187505614.0
Inventories Adjustments Allowances,-47015188.0,-46613261.0
Finished Goods,57955952.0,22993861.0
Work In Process,2638864.0,1235003.0
Raw Materials,187203365.0,209890011.0
Other Receivables,14109127.0,22284046.0
Taxes Receivable,2364203.0,2350949.0
Accounts Receivable,260710823.0,235014452.0
Allowance For Doubtful Accounts Receivable,-9508929.0,-9341824.0
Gross Accounts Receivable,270219752.0,244356276.0
Cash Cash Equivalents And Short Term Investments,85159556.0,38005164.0
Cash And Cash Equivalents,85159556.0,38005164.0
Cash Equivalents,76670079.0,7182000.0
Cash Financial,8489477.0,30823164.0
