,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,250000000.0,250000000.0,250000000.0,250000000.0,
Share Issued,250000000.0,250000000.0,250000000.0,250000000.0,
Net Debt,4821336000.0,4698379000.0,5226411000.0,6439001000.0,
Total Debt,13245821000.0,14683461000.0,15506158000.0,16946029000.0,
Tangible Book Value,5603690000.0,5215935000.0,5540885000.0,5520222000.0,
Invested Capital,11478600000.0,11375659000.0,11961084000.0,12654946000.0,
Working Capital,379638000.0,-439274000.0,23391000.0,756483000.0,
Net Tangible Assets,5603690000.0,5215935000.0,5540885000.0,5520222000.0,
Capital Lease Obligations,7376997000.0,8532210000.0,9097658000.0,9825166000.0,
Common Stock Equity,5609776000.0,5224408000.0,5552584000.0,5534083000.0,
Total Capitalization,11478600000.0,11087626000.0,11705923000.0,12434147000.0,
Total Equity Gross Minority Interest,5609776000.0,5224408000.0,5552584000.0,5534083000.0,
Stockholders Equity,5609776000.0,5224408000.0,5552584000.0,5534083000.0,
Retained Earnings,3050769000.0,2612962000.0,2589376000.0,2568824000.0,
Capital Stock,2500000000.0,2500000000.0,2500000000.0,2500000000.0,
Common Stock,2500000000.0,2500000000.0,2500000000.0,2500000000.0,
Total Liabilities Net Minority Interest,16543124000.0,17768917000.0,18474122000.0,20045588000.0,
Total Non Current Liabilities Net Minority Interest,13412031000.0,14367467000.0,15455051000.0,17013015000.0,
Other Non Current Liabilities,13344000.0,11288000.0,16705000.0,1397385000.0,
Derivative Product Liabilities,,,,0.0,50026000.0
Non Current Pension And Other Postretirement Benefit Plans,931158000.0,865983000.0,824187000.0,747721000.0,
Tradeand Other Payables Non Current,,,6541000.0,32265000.0,13925000.0
Non Current Deferred Revenue,607216000.0,651919000.0,568893000.0,611175000.0,
Non Current Deferred Taxes Liabilities,,,2984000.0,4367000.0,126443000.0
Long Term Debt And Capital Lease Obligation,11848594000.0,12838277000.0,14045266000.0,15615630000.0,
Long Term Capital Lease Obligation,5979770000.0,6975059000.0,7891927000.0,8715566000.0,
Long Term Debt,5868824000.0,5863218000.0,6153339000.0,6900064000.0,
Long Term Provisions,11719000.0,,,,
Current Liabilities,3131093000.0,3401450000.0,3019071000.0,3032573000.0,
Current Deferred Taxes Liabilities,14750000.0,11258000.0,39255000.0,116755000.0,
Current Debt And Capital Lease Obligation,1397227000.0,1845184000.0,1460892000.0,1330399000.0,
Current Capital Lease Obligation,1397227000.0,1557151000.0,1205731000.0,1109600000.0,
Current Debt,0.0,288033000.0,255161000.0,220799000.0,
Payables,780550000.0,688774000.0,630309000.0,712871000.0,
Accounts Payable,780550000.0,688774000.0,630309000.0,712871000.0,
Total Assets,22152900000.0,22993325000.0,24026706000.0,25579671000.0,
Total Non Current Assets,18642169000.0,20031149000.0,20984244000.0,21790615000.0,
Defined Pension Benefit,,,13915000.0,18103000.0,23687000.0
Non Current Deferred Assets,7872000.0,7952000.0,13916000.0,12548000.0,
Non Current Deferred Taxes Assets,,,,0.0,7430000.0
Financial Assets,,,36884000.0,49268000.0,0.0
Long Term Equity Investment,723632000.0,767590000.0,781444000.0,817421000.0,
Goodwill And Other Intangible Assets,6086000.0,8473000.0,11699000.0,13861000.0,
Other Intangible Assets,6086000.0,8473000.0,11699000.0,13925000.0,
Net PPE,17793433000.0,19122394000.0,20013562000.0,20740688000.0,
Accumulated Depreciation,-21754990000.0,-20285178000.0,-18791088000.0,-17349447000.0,
Gross PPE,39548423000.0,39407572000.0,38804650000.0,38090135000.0,
Construction In Progress,1307101000.0,1082430000.0,1125227000.0,1981701000.0,
Other Properties,1047168000.0,977413000.0,909556000.0,819071000.0,
Machinery Furniture Equipment,26771959000.0,26670026000.0,26305036000.0,25541567000.0,
Buildings And Improvements,3443953000.0,3443905000.0,3383650000.0,3300410000.0,
Land And Improvements,390409000.0,390409000.0,390409000.0,390409000.0,
Properties,6587833000.0,6843389000.0,6690772000.0,6056977000.0,
Current Assets,3510731000.0,2962176000.0,3042462000.0,3789056000.0,
Other Current Assets,,,,401729000.0,70426000.0
Hedging Assets Current,,,25783000.0,31400000.0,0.0
Restricted Cash,23293000.0,24499000.0,24413000.0,26183000.0,
Prepaid Assets,67879000.0,71300000.0,74731000.0,72851000.0,
Inventory,369082000.0,356795000.0,270672000.0,296140000.0,
Inventories Adjustments Allowances,-164342000.0,-148595000.0,-173531000.0,-161863000.0,
Other Inventories,121158000.0,113620000.0,30055000.0,51701000.0,
Raw Materials,412266000.0,391770000.0,414148000.0,406468000.0,
Other Receivables,363914000.0,342826000.0,300542000.0,316296000.0,
Accounts Receivable,981356000.0,670331000.0,1086015000.0,867325000.0,
Allowance For Doubtful Accounts Receivable,-59122000.0,-542114000.0,-30933000.0,-25417000.0,
Gross Accounts Receivable,1040478000.0,1212445000.0,1116948000.0,893017000.0,
Cash Cash Equivalents And Short Term Investments,1705207000.0,1496425000.0,1286089000.0,2223862000.0,
Other Short Term Investments,657719000.0,43553000.0,104000000.0,1542000000.0,
Cash And Cash Equivalents,1047488000.0,1452872000.0,1182089000.0,681862000.0,
Cash Equivalents,774000000.0,1069000000.0,966371000.0,175000000.0,
Cash Financial,273488000.0,383872000.0,215718000.0,510694000.0,
