,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,-10234.739412,-260127.803255,7416.920268
Tax Rate For Calcs,0.020477,0.014071,0.035814,0.011148
Normalized EBITDA,323184419.0,317990209.0,322725612.0,323734510.0
Total Unusual Items,0.0,-727374.0,-7263246.0,665314.0
Total Unusual Items Excluding Goodwill,0.0,-727374.0,-7263246.0,665314.0
Net Income From Continuing Operation Net Minority Interest,223785680.0,208670276.0,201810098.0,233009125.0
Reconciled Depreciation,61599628.0,59598107.0,58500563.0,53540896.0
Reconciled Cost Of Revenue,655483483.0,626935382.0,592877599.0,611993665.0
EBITDA,323184419.0,317262835.0,315462366.0,324399824.0
EBIT,261584791.0,257664728.0,256961803.0,270858928.0
Net Interest Income,-30121963.0,-47644923.0,-44260961.0,-34471352.0
Interest Expense,33120864.0,46016389.0,47655556.0,35222933.0
Interest Income,2998901.0,7258232.0,3987046.0,1344032.0
Normalized Income,223785680.0,209387415.260588,208813216.196745,232351227.920268
Net Income From Continuing And Discontinued Operation,223785680.0,208670276.0,201810098.0,233009125.0
Total Expenses,788246744.0,755185744.0,677827378.0,708590832.0
Total Operating Income As Reported,258585890.0,259293262.0,253567208.0,270107347.0
Diluted Average Shares,81013680.0,81205963.0,81013680.0,81013680.0
Basic Average Shares,81013680.0,81205963.0,81013680.0,81013680.0
Diluted EPS,2.76,2.57,2.491062,2.87617
Basic EPS,2.76,2.57,2.491062,2.87617
Diluted NI Availto Com Stockholders,223785680.0,208670276.0,201810098.0,233009125.0
Net Income Common Stockholders,223785680.0,208670276.0,201810098.0,233009125.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,223785680.0,208670276.0,201810098.0,233009125.0
Net Income Including Noncontrolling Interests,223785680.0,208670276.0,201810098.0,233009125.0
Net Income Continuous Operations,223785680.0,208670276.0,201810098.0,233009125.0
Tax Provision,4678247.0,2978063.0,7496149.0,2626870.0
Pretax Income,228463927.0,211648339.0,209306247.0,235635995.0
Other Non Operating Income Expenses,209847.0,223473.0,37438.0,32174.0
Special Income Charges,0.0,-727374.0,-7263246.0,665314.0
Other Special Charges,,727374.0,7263246.0,-665314.0
Net Non Operating Interest Income Expense,-30121963.0,-47644923.0,-44260961.0,-34471352.0
Total Other Finance Cost,,8886766.0,592451.0,592451.0
Interest Expense Non Operating,33120864.0,46016389.0,47655556.0,35222933.0
Interest Income Non Operating,2998901.0,7258232.0,3987046.0,1344032.0
Operating Income,258376043.0,259797163.0,260793016.0,269409859.0
Operating Expense,132763261.0,128250362.0,84949779.0,96597167.0
Other Operating Expenses,881263.0,1653691.0,2018783.0,1911605.0
Depreciation And Amortization In Income Statement,7188419.0,7019085.0,5940706.0,3198667.0
Amortization,440075.0,450811.0,397635.0,168143.0
Depreciation Income Statement,6748344.0,6568274.0,5543071.0,3030524.0
Selling General And Administration,76336542.0,68383383.0,32253095.0,34916107.0
Selling And Marketing Expense,61500801.0,48841065.0,16185388.0,13364149.0
General And Administrative Expense,14835741.0,19542318.0,16067707.0,21551958.0
Gross Profit,391139304.0,388047525.0,345742795.0,366007026.0
Cost Of Revenue,655483483.0,626935382.0,592877599.0,611993665.0
Total Revenue,1046622787.0,1014982907.0,938620394.0,978000691.0
Operating Revenue,1046622787.0,1014982907.0,938620394.0,978000691.0
