,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.025781,0.025459,0.02516
Normalized EBITDA,385072339.0,380463967.0,398272230.0
Net Income From Continuing Operation Net Minority Interest,237037854.0,213636615.0,200279112.0
Reconciled Depreciation,83796589.0,79264024.0,72857348.0
Reconciled Cost Of Revenue,526849274.0,523233904.0,437074968.0
EBITDA,385072339.0,380463967.0,398272230.0
EBIT,301275750.0,301199943.0,325414882.0
Net Interest Income,-63313855.0,-78960181.0,-104705870.0
Interest Expense,57965155.0,81982291.0,119966643.0
Interest Income,7100877.0,4603540.0,17005000.0
Normalized Income,237037854.0,213636615.0,200279112.0
Net Income From Continuing And Discontinued Operation,237037854.0,213636615.0,200279112.0
Total Expenses,692571296.0,676237760.0,555812319.0
Rent Expense Supplemental,2192239.0,1381811.0,418910.0
Total Operating Income As Reported,306624450.0,298177833.0,306269655.0
Diluted Average Shares,51315006.0,51315006.0,51315006.0
Basic Average Shares,51315006.0,51315006.0,51315006.0
Diluted EPS,4.62,4.16,3.902935
Basic EPS,4.62,4.16,3.902935
Diluted NI Availto Com Stockholders,237037854.0,213636615.0,200279112.0
Net Income Common Stockholders,237037854.0,213636615.0,200279112.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,237037854.0,213636615.0,200279112.0
Net Income Including Noncontrolling Interests,237037854.0,213636615.0,200279112.0
Net Income Continuous Operations,237037854.0,213636615.0,200279112.0
Tax Provision,6272741.0,5581037.0,5169127.0
Pretax Income,243310595.0,219217652.0,205448239.0
Other Non Operating Income Expenses,1537573.0,473145.0,3884454.0
Net Non Operating Interest Income Expense,-63313855.0,-78960181.0,-104705870.0
Total Other Finance Cost,12449577.0,1581430.0,1744227.0
Interest Expense Non Operating,57965155.0,81982291.0,119966643.0
Interest Income Non Operating,7100877.0,4603540.0,17005000.0
Operating Income,305086877.0,297704688.0,306269655.0
Operating Expense,165722022.0,153003856.0,118737351.0
Other Operating Expenses,6161086.0,5172384.0,2502403.0
Depreciation And Amortization In Income Statement,8147033.0,8975603.0,14246178.0
Amortization,3348170.0,3080693.0,3080693.0
Depreciation Income Statement,4798863.0,5894910.0,11165485.0
Selling General And Administration,75686783.0,72519634.0,50758981.0
Selling And Marketing Expense,55895122.0,44285660.0,17530288.0
General And Administrative Expense,19791661.0,28233974.0,33228693.0
Rent And Landing Fees,1532439.0,789053.0,68910.0
Gross Profit,470808899.0,450708544.0,425007006.0
Cost Of Revenue,526849274.0,523233904.0,437074968.0
Total Revenue,997658173.0,973942448.0,862081974.0
Operating Revenue,997658173.0,973942448.0,862081974.0
