,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,30000000.0,30000000.0,30000000.0
Share Issued,30000000.0,30000000.0,30000000.0
Net Debt,651966659.0,570376218.0,494114601.0
Total Debt,930617984.0,708747776.0,574831615.0
Tangible Book Value,318363969.0,459918224.0,435921962.0
Invested Capital,992003370.0,1064437116.0,953783116.0
Working Capital,-109371145.0,24002804.0,57370212.0
Net Tangible Assets,318363969.0,459918224.0,435921962.0
Capital Lease Obligations,258543398.0,104891303.0,57628830.0
Common Stock Equity,319928784.0,460580643.0,436580331.0
Total Capitalization,861191315.0,965662869.0,896995178.0
Total Equity Gross Minority Interest,319928784.0,460580643.0,436580331.0
Stockholders Equity,319928784.0,460580643.0,436580331.0
Other Equity Interest,,,250000000.0
Retained Earnings,12424281.0,153076140.0,129075828.0
Capital Stock,300000000.0,300000000.0,50000000.0
Common Stock,300000000.0,300000000.0,50000000.0
Total Liabilities Net Minority Interest,1359988859.0,975192741.0,756042115.0
Total Non Current Liabilities Net Minority Interest,770291536.0,618959798.0,535439080.0
Other Non Current Liabilities,6759153.0,,1186456.0
Non Current Pension And Other Postretirement Benefit Plans,35023414.0,30275049.0,24607659.0
Long Term Debt And Capital Lease Obligation,728508969.0,588684749.0,509644965.0
Long Term Capital Lease Obligation,187246438.0,83602523.0,49230118.0
Long Term Debt,541262531.0,505082226.0,460414847.0
Current Liabilities,589697323.0,356232943.0,220603035.0
Other Current Liabilities,12138959.0,6098437.0,
Current Deferred Taxes Liabilities,3535059.0,0.0,0.0
Current Debt And Capital Lease Obligation,202109015.0,120063027.0,65186650.0
Current Capital Lease Obligation,71296960.0,21288780.0,8398712.0
Current Debt,130812055.0,98774247.0,56787938.0
Payables,304189703.0,160711914.0,93793006.0
Total Tax Payable,893312.0,6714403.0,
Accounts Payable,303296391.0,153997511.0,93793006.0
Total Assets,1679917643.0,1435773384.0,1192622446.0
Total Non Current Assets,1199591465.0,1055537637.0,914649199.0
Non Current Prepaid Assets,16940474.0,15512495.0,0.0
Goodwill And Other Intangible Assets,1564815.0,662419.0,658369.0
Other Intangible Assets,1564815.0,662419.0,
Net PPE,1169053024.0,1032852723.0,913990830.0
Accumulated Depreciation,-545233267.0,-465495364.0,
Gross PPE,1714286291.0,1498348087.0,913990830.0
Construction In Progress,3217909.0,3217909.0,
Other Properties,11843384.0,11843384.0,913990830.0
Machinery Furniture Equipment,946076418.0,829106176.0,
Buildings And Improvements,680413356.0,581445394.0,
Land And Improvements,72735224.0,72735224.0,
Properties,0.0,0.0,
Current Assets,480326178.0,380235747.0,277973247.0
Prepaid Assets,29139405.0,16904264.0,
Inventory,256559220.0,182663255.0,155296474.0
Inventories Adjustments Allowances,-22019319.0,-20439601.0,
Other Inventories,101858692.0,79786811.0,
Finished Goods,108529550.0,68029610.0,
Raw Materials,68190297.0,55286435.0,
Other Receivables,7616051.0,9116374.0,18077155.0
Accounts Receivable,166903575.0,138071599.0,81511434.0
Allowance For Doubtful Accounts Receivable,-50888316.0,-54239400.0,
Gross Accounts Receivable,217791891.0,192310999.0,
Cash Cash Equivalents And Short Term Investments,20107927.0,33480255.0,23088184.0
Cash And Cash Equivalents,20107927.0,33480255.0,23088184.0
Cash Financial,20107927.0,33480255.0,
