,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,146998313.0,65576245.0,57298488.0
Capital Expenditure,-18259679.0,-15587283.0,-14825624.0
End Cash Position,141532958.0,80917629.0,77388154.0
Beginning Cash Position,80917629.0,77388154.0,65709712.0
Changes In Cash,60615329.0,3529475.0,11678442.0
Financing Cash Flow,-66461244.0,-62285659.0,-45620046.0
Interest Paid Cff,-90046.0,-210982.0,-213437.0
Cash Dividends Paid,-64000000.0,-60000000.0,-43878800.0
Investing Cash Flow,-38181419.0,-15348394.0,-14825624.0
Net Investment Purchase And Sale,-20000000.0,0.0,
Net Intangibles Purchase And Sale,0.0,-112251.0,-880685.0
Purchase Of Intangibles,0.0,-112251.0,-880685.0
Net PPE Purchase And Sale,-18181419.0,-15236143.0,-13944939.0
Sale Of PPE,78260.0,238889.0,0.0
Purchase Of PPE,-18259679.0,-15475032.0,-13944939.0
Operating Cash Flow,165257992.0,81163528.0,72124112.0
Taxes Refund Paid,-946260.0,-11378328.0,-10023276.0
Change In Working Capital,34464754.0,-33984516.0,-37114153.0
Change In Payable,54223272.0,-4047328.0,-9931912.0
Change In Inventory,-23591891.0,24191159.0,-33252714.0
Change In Receivables,3113700.0,-54904562.0,4313912.0
Other Non Cash Items,3406466.0,2662771.0,1988561.0
Provisionand Write Offof Assets,847122.0,967475.0,0.0
Depreciation And Amortization,23805152.0,22555538.0,22693218.0
Amortization Cash Flow,167246.0,239683.0,238837.0
Depreciation,23637906.0,22315855.0,22454381.0
Pension And Employee Benefit Expense,2660567.0,2571855.0,2661960.0
Gain Loss On Sale Of PPE,-78260.0,0.0,
Net Income From Continuing Operations,85003443.0,94896375.0,91504511.0
