,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,250000000.0,250000000.0,250000000.0,250000000.0
Share Issued,250000000.0,250000000.0,250000000.0,250000000.0
Net Debt,15900835.0,9968232.0,,
Total Debt,26553307.0,23077913.0,4279559.0,4386187.0
Tangible Book Value,379133790.0,360049625.0,360030807.0,346145609.0
Invested Capital,406171884.0,379689729.0,14363230.0,9700339.0
Working Capital,243724151.0,227108437.0,228595231.0,221979824.0
Net Tangible Assets,379133790.0,360049625.0,360030807.0,346145609.0
Capital Lease Obligations,3453680.0,4584190.0,4279559.0,4386187.0
Common Stock Equity,383072257.0,361196006.0,360030807.0,346145609.0
Total Capitalization,397882257.0,374298479.0,360030807.0,346145609.0
Total Equity Gross Minority Interest,383072257.0,361196006.0,360030807.0,346145609.0
Stockholders Equity,383072257.0,361196006.0,360030807.0,346145609.0
Retained Earnings,89502521.0,68221015.0,,
Capital Stock,250000000.0,250000000.0,,
Common Stock,250000000.0,250000000.0,,
Total Liabilities Net Minority Interest,149028208.0,155322483.0,147057052.0,113928651.0
Total Non Current Liabilities Net Minority Interest,32551005.0,31326502.0,30017000.0,22480480.0
Non Current Pension And Other Postretirement Benefit Plans,15681430.0,15460436.0,,
Long Term Debt And Capital Lease Obligation,16869575.0,15866066.0,2680543.0,2744015.0
Long Term Capital Lease Obligation,2059575.0,2763593.0,2680543.0,2744015.0
Long Term Debt,14810000.0,13102473.0,14363230.0,9700339.0
Current Liabilities,116477203.0,123995981.0,117040052.0,91448171.0
Current Deferred Taxes Liabilities,6358290.0,6282985.0,,
Current Debt And Capital Lease Obligation,9683732.0,7211847.0,,
Current Capital Lease Obligation,1394105.0,1820597.0,1599016.0,1642172.0
Current Debt,8289627.0,5391250.0,,
Payables,81822528.0,85892869.0,,
Total Tax Payable,1881332.0,3088799.0,,
Accounts Payable,79941196.0,82804070.0,,
Total Assets,532100465.0,516518489.0,507087859.0,460074260.0
Total Non Current Assets,171899111.0,165414071.0,161452576.0,146646265.0
Goodwill And Other Intangible Assets,3938467.0,1146381.0,,
Other Intangible Assets,3938467.0,1146381.0,,
Net PPE,167960644.0,164267690.0,,
Accumulated Depreciation,-257398221.0,-245197173.0,,
Gross PPE,425358865.0,409464863.0,,
Construction In Progress,3773810.0,9815934.0,,
Other Properties,60297958.0,53662763.0,,
Machinery Furniture Equipment,239523012.0,227923951.0,,
Buildings And Improvements,68476577.0,64759715.0,,
Land And Improvements,53287508.0,53302500.0,,
Properties,0.0,0.0,,
Current Assets,360201354.0,351104418.0,345635283.0,313427995.0
Prepaid Assets,6701510.0,9526512.0,,
Inventory,187995595.0,195749721.0,,
Inventories Adjustments Allowances,-11502814.0,-10502814.0,,
Finished Goods,150684495.0,140405999.0,,
Work In Process,7129372.0,5049217.0,,
Raw Materials,41684542.0,60797319.0,,
Other Receivables,27077891.0,37123058.0,,
Accounts Receivable,131227566.0,100179636.0,,
Allowance For Doubtful Accounts Receivable,-32060017.0,-30675714.0,,
Gross Accounts Receivable,163287583.0,130855350.0,,
Cash Cash Equivalents And Short Term Investments,7198792.0,8525491.0,15528531.0,27571678.0
Cash And Cash Equivalents,7198792.0,8525491.0,15528531.0,27571678.0
Cash Financial,7198792.0,8525491.0,,
