,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,813605000.0,723902000.0,622889000.0,457531000.0
Repayment Of Debt,-57000000.0,-44000000.0,0.0,
Issuance Of Debt,0.0,55451000.0,103106000.0,0.0
Capital Expenditure,-143813000.0,-67564000.0,-72845000.0,-98272000.0
End Cash Position,1542127000.0,1362043000.0,710426000.0,940069000.0
Beginning Cash Position,1362043000.0,710426000.0,940069000.0,491590000.0
Changes In Cash,180084000.0,651617000.0,-229643000.0,448479000.0
Financing Cash Flow,-633521000.0,-572285000.0,-329031000.0,-389052000.0
Interest Paid Cff,-51221000.0,-28389000.0,-56383000.0,-69753000.0
Cash Dividends Paid,-478400000.0,-493600000.0,-352000000.0,-255000000.0
Net Issuance Payments Of Debt,-57000000.0,11451000.0,103106000.0,0.0
Net Long Term Debt Issuance,-57000000.0,11451000.0,103106000.0,0.0
Long Term Debt Payments,-57000000.0,-44000000.0,0.0,
Long Term Debt Issuance,0.0,55451000.0,103106000.0,0.0
Investing Cash Flow,-143813000.0,432436000.0,-596346000.0,281728000.0
Net Investment Purchase And Sale,0.0,500000000.0,-500000000.0,380000000.0
Sale Of Investment,0.0,500000000.0,,
Net Intangibles Purchase And Sale,-3446000.0,-721000.0,-3199000.0,-1729000.0
Purchase Of Intangibles,-3446000.0,-721000.0,-3199000.0,-1729000.0
Net PPE Purchase And Sale,-140367000.0,-66843000.0,-69567000.0,-96543000.0
Sale Of PPE,,0.0,79000.0,0.0
Purchase Of PPE,-140367000.0,-66843000.0,-69646000.0,-96543000.0
Operating Cash Flow,957418000.0,791466000.0,695734000.0,555803000.0
Taxes Refund Paid,-34750000.0,-35846000.0,-7435000.0,-2668000.0
Interest Received Cfo,60448000.0,59495000.0,51614000.0,
Interest Paid Cfo,-11568000.0,-21462000.0,-18390000.0,-5167000.0
Change In Working Capital,96756000.0,-17646000.0,-83880000.0,-17803000.0
Change In Other Current Assets,-10393000.0,0.0,30758000.0,-30758000.0
Change In Accrued Expense,15100000.0,35225000.0,-13760000.0,16895000.0
Change In Payable,-8395000.0,82660000.0,-20187000.0,49109000.0
Change In Prepaid Assets,4080000.0,-62339000.0,95991000.0,11133000.0
Change In Inventory,,,30758000.0,-30758000.0
Change In Receivables,96364000.0,-73192000.0,-176682000.0,-64182000.0
Other Non Cash Items,-15845000.0,10418000.0,35776000.0,67310000.0
Depreciation And Amortization,111705000.0,105287000.0,134704000.0,118904000.0
Amortization Cash Flow,3312000.0,3291000.0,3031000.0,2861000.0
Depreciation,108393000.0,101996000.0,131673000.0,116043000.0
Pension And Employee Benefit Expense,20845000.0,17133000.0,15920000.0,13794000.0
Gain Loss On Sale Of PPE,0.0,98000.0,-20000.0,0.0
Net Income From Continuing Operations,736690000.0,694477000.0,550560000.0,370476000.0
