,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,14882567.8,14882567.8
Tax Rate For Calcs,0.2,0.2
Total Unusual Items,74412839.0,74412839.0
Total Unusual Items Excluding Goodwill,74412839.0,74412839.0
Net Income From Continuing Operation Net Minority Interest,48961126.0,48847638.0
Reconciled Depreciation,19690155.0,19690155.0
Normalized Income,-10569145.2,-10682633.2
Net Income From Continuing And Discontinued Operation,48961126.0,48847638.0
Diluted Average Shares,,102002100.0
Basic Average Shares,,102002100.0
Diluted EPS,,0.478889
Basic EPS,,0.478889
Diluted NI Availto Com Stockholders,48961126.0,48847638.0
Net Income Common Stockholders,48961126.0,48847638.0
Net Income,48961126.0,48847638.0
Net Income Including Noncontrolling Interests,48961126.0,48847638.0
Net Income Continuous Operations,48961126.0,48847638.0
Pretax Income,48961126.0,48847638.0
Gain On Sale Of Security,2195826.0,636124.0
Operating Expense,21084460.0,20963817.0
Depreciation And Amortization In Income Statement,19690155.0,19690155.0
Depreciation Income Statement,19690155.0,19690155.0
Selling General And Administration,1394305.0,1273662.0
General And Administrative Expense,1394305.0,1273662.0
Total Revenue,70045586.0,69811455.0
Operating Revenue,70045586.0,69811455.0
