,2025-12-31
Free Cash Flow,71457536.0
Issuance Of Debt,0.0
Capital Expenditure,-421341.0
End Cash Position,58388787.0
Beginning Cash Position,76160155.0
Changes In Cash,-17771368.0
Financing Cash Flow,-89228904.0
Net Other Financing Charges,-45375000.0
Interest Paid Cff,-42991024.0
Net Issuance Payments Of Debt,0.0
Net Long Term Debt Issuance,0.0
Long Term Debt Issuance,0.0
Investing Cash Flow,-421341.0
Net Investment Properties Purchase And Sale,0.0
Purchase Of Investment Properties,0.0
Net PPE Purchase And Sale,-421341.0
Purchase Of PPE,-421341.0
Operating Cash Flow,71878877.0
Change In Working Capital,11832993.0
Change In Other Current Assets,-3067782.0
Change In Accrued Expense,223565.0
Change In Payable,1140000.0
Change In Receivables,13537210.0
Other Non Cash Items,44659882.0
Provisionand Write Offof Assets,2098070.0
Depreciation And Amortization,33266028.0
Depreciation,33266028.0
Net Income From Continuing Operations,-19978096.0
