,2025-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,58561072.0
Total Unusual Items,-613258.0
Total Unusual Items Excluding Goodwill,-613258.0
Net Income From Continuing Operation Net Minority Interest,-19978096.0
Reconciled Depreciation,33266028.0
Reconciled Cost Of Revenue,41266110.0
EBITDA,57947814.0
EBIT,24681786.0
Net Interest Income,-44659882.0
Interest Expense,44659882.0
Normalized Income,-19364838.0
Net Income From Continuing And Discontinued Operation,-19978096.0
Total Expenses,90472069.0
Diluted NI Availto Com Stockholders,-19978096.0
Net Income Common Stockholders,-19978096.0
Otherunder Preferred Stock Dividend,0.0
Net Income,-19978096.0
Net Income Including Noncontrolling Interests,-19978096.0
Net Income Continuous Operations,-19978096.0
Pretax Income,-19978096.0
Special Income Charges,-613258.0
Other Special Charges,613258.0
Net Non Operating Interest Income Expense,-44659882.0
Interest Expense Non Operating,44659882.0
Operating Income,25295044.0
Operating Expense,49205959.0
Other Operating Expenses,14838602.0
Depreciation And Amortization In Income Statement,33266028.0
Depreciation Income Statement,33266028.0
Selling General And Administration,1061329.0
General And Administrative Expense,1061329.0
Gross Profit,74501003.0
Cost Of Revenue,41266110.0
Total Revenue,115767113.0
Operating Revenue,115767113.0
