,2025-12-31,2024-12-31
Free Cash Flow,41883166.0,11854247.0
Repayment Of Debt,-116014436.0,-109388648.0
Issuance Of Debt,112970077.0,149736016.0
Issuance Of Capital Stock,78000000.0,0.0
Capital Expenditure,-117557142.0,-92315836.0
End Cash Position,46676425.0,5026406.0
Beginning Cash Position,5026406.0,8641035.0
Changes In Cash,41650019.0,-3614629.0
Financing Cash Flow,-1080106.0,-17789795.0
Interest Paid Cff,-21249788.0,-16363026.0
Cash Dividends Paid,,-6000000.0
Common Stock Dividend Paid,0.0,-6000000.0
Net Common Stock Issuance,78000000.0,0.0
Common Stock Issuance,78000000.0,0.0
Net Issuance Payments Of Debt,-3044359.0,40347368.0
Net Long Term Debt Issuance,-3044359.0,40347368.0
Long Term Debt Payments,-116014436.0,-109388648.0
Long Term Debt Issuance,112970077.0,149736016.0
Investing Cash Flow,-116710183.0,-89994917.0
Net Intangibles Purchase And Sale,-3967041.0,-878328.0
Purchase Of Intangibles,-3967041.0,-878328.0
Net PPE Purchase And Sale,-112743142.0,-89116589.0
Sale Of PPE,846959.0,2320919.0
Purchase Of PPE,-113590101.0,-91437508.0
Operating Cash Flow,159440308.0,104170083.0
Taxes Refund Paid,-1008151.0,-728530.0
Change In Working Capital,11994870.0,-22843181.0
Change In Other Current Assets,7834433.0,18060196.0
Change In Accrued Expense,-2900679.0,6020706.0
Change In Payable,-15454319.0,-3022123.0
Change In Prepaid Assets,3924196.0,-17301132.0
Change In Inventory,1813407.0,-2238838.0
Change In Receivables,16777832.0,-24361990.0
Other Non Cash Items,33625409.0,28203144.0
Provisionand Write Offof Assets,42315.0,521060.0
Depreciation And Amortization,73911309.0,65810928.0
Amortization Cash Flow,962121.0,755023.0
Depreciation,72949188.0,65055905.0
Pension And Employee Benefit Expense,5577000.0,3927000.0
Gain Loss On Sale Of PPE,668063.0,-18044.0
Net Income From Continuing Operations,42228233.0,37038501.0
