,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,414898.4,1677749.0,-437421.6,3745481.4,
Tax Rate For Calcs,0.2,0.2,0.2,0.2,
Normalized EBITDA,-3736640.0,-7628162.0,7862105.0,-20551093.0,
Total Unusual Items,2074492.0,8388745.0,-2187108.0,18727407.0,
Total Unusual Items Excluding Goodwill,2074492.0,8388745.0,-2187108.0,18727407.0,
Net Income From Continuing Operation Net Minority Interest,4171932.0,10238032.0,-6713311.0,7049432.0,
Reconciled Depreciation,1096812.0,1891657.0,2185309.0,2475523.0,
Reconciled Cost Of Revenue,1226874.0,1560921.0,1512945.0,1721306.0,
EBITDA,-1662148.0,760583.0,5674997.0,-1823686.0,
EBIT,-2758960.0,-1131074.0,3489688.0,-4299209.0,
Net Interest Income,5243690.0,2449916.0,1702010.0,15527.0,
Interest Income,5243690.0,2449916.0,1702010.0,15527.0,
Normalized Income,2512338.4,3527036.0,-4963624.6,-7932493.6,
Net Income From Continuing And Discontinued Operation,4171932.0,10238032.0,-6713311.0,7049432.0,
Total Expenses,12058652.0,11177362.0,6976565.0,15161230.0,
Total Operating Income As Reported,-4894554.0,10819342.0,-1679446.0,14754562.0,
Diluted Average Shares,30000000.0,30000000.0,30000000.0,30000000.0,
Basic Average Shares,30000000.0,30000000.0,30000000.0,30000000.0,
Diluted EPS,0.139,0.341,-0.224,0.235,
Basic EPS,0.139,0.341,-0.224,0.235,
Diluted NI Availto Com Stockholders,4171932.0,10238032.0,-6713311.0,7049432.0,
Net Income Common Stockholders,4171932.0,10238032.0,-6713311.0,7049432.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4171932.0,10238032.0,-6713311.0,7049432.0,
Net Income Including Noncontrolling Interests,4171932.0,10238032.0,-6713311.0,7049432.0,
Net Income Continuous Operations,4171932.0,10238032.0,-6713311.0,7049432.0,
Tax Provision,-2421000.0,8205652.0,10269816.0,8260077.0,
Pretax Income,1750932.0,18443684.0,3556505.0,15309509.0,
Other Non Operating Income Expenses,37074.0,81569.0,139415.0,528284.0,
Special Income Charges,1324950.0,7695308.0,-4579140.0,18617060.0,
Other Special Charges,,329623.0,-539656.0,445566.0,-195722.0
Write Off,0.0,-3880000.0,0.0,0.0,
Impairment Of Capital Assets,-1324950.0,-3815308.0,5118796.0,-19062626.0,
Net Non Operating Interest Income Expense,5243690.0,2449916.0,1702010.0,15527.0,
Interest Income Non Operating,5243690.0,2449916.0,1702010.0,15527.0,
Operating Income,-2758960.0,-1131074.0,3489688.0,-4299209.0,
Operating Expense,10831778.0,9616441.0,5463620.0,13439924.0,
Other Operating Expenses,1650949.0,39270324.0,-206440.0,6686203.0,
Depreciation And Amortization In Income Statement,225550.0,582289.0,834691.0,1066699.0,
Depreciation Income Statement,225550.0,582289.0,834691.0,1066699.0,
Selling General And Administration,2653421.0,2640628.0,1334970.0,2143522.0,
Selling And Marketing Expense,,,6081.0,9264.0,10996.0
General And Administrative Expense,2653421.0,2640628.0,1334970.0,2134258.0,
Gross Profit,8072818.0,8485367.0,8953308.0,9140715.0,
Cost Of Revenue,1226874.0,1560921.0,1512945.0,1721306.0,
Total Revenue,9299692.0,10046288.0,10466253.0,10862021.0,
Operating Revenue,9299692.0,10046288.0,10466253.0,10862021.0,
